127.0.0.1 - - [02/Jan/2024:15:41:07 +0900] "GET / HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [02/Jan/2024:15:41:14 +0900] "POST /admin/MenuController HTTP/1.1" 500 1151
0:0:0:0:0:0:0:1 - - [02/Jan/2024:15:41:19 +0900] "POST /admin/MenuController HTTP/1.1" 500 1151
0:0:0:0:0:0:0:1 - - [02/Jan/2024:15:41:23 +0900] "POST /admin/MenuController HTTP/1.1" 500 1151
0:0:0:0:0:0:0:1 - - [02/Jan/2024:15:41:28 +0900] "GET /admin/ HTTP/1.1" 500 1458
0:0:0:0:0:0:0:1 - - [02/Jan/2024:15:41:28 +0900] "GET /admin/ HTTP/1.1" 500 1458
0:0:0:0:0:0:0:1 - - [02/Jan/2024:15:41:35 +0900] "POST /admin/MainController HTTP/1.1" 200 7402
0:0:0:0:0:0:0:1 - - [02/Jan/2024:15:41:35 +0900] "GET /admin/css/pricing.css HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [02/Jan/2024:15:41:40 +0900] "POST /admin/MenuController HTTP/1.1" 200 11108
0:0:0:0:0:0:0:1 - - [02/Jan/2024:15:45:53 +0900] "POST /admin/MenuController HTTP/1.1" 200 3935
0:0:0:0:0:0:0:1 - - [02/Jan/2024:15:45:55 +0900] "POST /admin/MenuController HTTP/1.1" 200 11102
0:0:0:0:0:0:0:1 - - [02/Jan/2024:15:54:19 +0900] "POST /admin/MenuController HTTP/1.1" 200 3935
0:0:0:0:0:0:0:1 - - [02/Jan/2024:15:54:19 +0900] "POST /admin/MenuController HTTP/1.1" 200 11102
0:0:0:0:0:0:0:1 - - [02/Jan/2024:15:54:27 +0900] "POST /admin/MenuController HTTP/1.1" 200 3935
0:0:0:0:0:0:0:1 - - [02/Jan/2024:15:54:29 +0900] "POST /admin/MenuController HTTP/1.1" 200 4513
0:0:0:0:0:0:0:1 - - [02/Jan/2024:15:54:29 +0900] "POST /admin/MenuController HTTP/1.1" 200 7402
0:0:0:0:0:0:0:1 - - [02/Jan/2024:15:54:30 +0900] "GET /admin/css/pricing.css HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [02/Jan/2024:15:54:30 +0900] "POST /admin/MenuController HTTP/1.1" 200 11108
0:0:0:0:0:0:0:1 - - [02/Jan/2024:15:55:19 +0900] "POST /admin/MenuController HTTP/1.1" 200 3935
0:0:0:0:0:0:0:1 - - [02/Jan/2024:15:55:19 +0900] "POST /admin/MenuController HTTP/1.1" 200 7402
0:0:0:0:0:0:0:1 - - [02/Jan/2024:15:55:19 +0900] "GET /admin/css/pricing.css HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [02/Jan/2024:15:55:21 +0900] "POST /admin/MenuController HTTP/1.1" 200 11106
0:0:0:0:0:0:0:1 - - [02/Jan/2024:15:55:48 +0900] "POST /admin/MenuController HTTP/1.1" 200 4513
0:0:0:0:0:0:0:1 - - [02/Jan/2024:15:55:48 +0900] "POST /admin/MenuController HTTP/1.1" 200 7402
0:0:0:0:0:0:0:1 - - [02/Jan/2024:15:55:49 +0900] "GET /admin/css/pricing.css HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [02/Jan/2024:15:55:49 +0900] "POST /admin/MenuController HTTP/1.1" 200 11108
0:0:0:0:0:0:0:1 - - [02/Jan/2024:15:57:14 +0900] "POST /admin/MenuController HTTP/1.1" 200 11112
0:0:0:0:0:0:0:1 - - [02/Jan/2024:16:02:20 +0900] "POST /admin/MenuController HTTP/1.1" 200 7402
0:0:0:0:0:0:0:1 - - [02/Jan/2024:16:02:20 +0900] "GET /admin/css/pricing.css HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [02/Jan/2024:16:02:21 +0900] "POST /admin/MenuController HTTP/1.1" 200 11138
0:0:0:0:0:0:0:1 - - [02/Jan/2024:16:02:58 +0900] "POST /admin/MenuController HTTP/1.1" 200 7402
