127.0.0.1 - - [08/Feb/2024:07:19:33 +0900] "GET / HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [08/Feb/2024:07:19:56 +0900] "GET /admin/ HTTP/1.1" 500 2135
0:0:0:0:0:0:0:1 - - [08/Feb/2024:07:19:56 +0900] "GET /admin/ HTTP/1.1" 500 2135
0:0:0:0:0:0:0:1 - - [08/Feb/2024:07:19:56 +0900] "GET /admin/css/bootstrap.min.css HTTP/1.1" 200 232914
0:0:0:0:0:0:0:1 - - [08/Feb/2024:07:19:56 +0900] "GET /admin/js/bootstrap.min.js HTTP/1.1" 200 60348
0:0:0:0:0:0:0:1 - - [08/Feb/2024:07:19:56 +0900] "GET /admin/css/sticky-footer.css HTTP/1.1" 200 598
0:0:0:0:0:0:0:1 - - [08/Feb/2024:07:19:56 +0900] "GET /favicon.ico HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [08/Feb/2024:07:29:17 +0900] "POST /admin/MainController HTTP/1.1" 200 11928
0:0:0:0:0:0:0:1 - - [08/Feb/2024:07:29:17 +0900] "GET /admin/css/pricing.css HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [08/Feb/2024:07:29:17 +0900] "GET /admin/img/meet.png HTTP/1.1" 200 5550
0:0:0:0:0:0:0:1 - - [08/Feb/2024:07:29:17 +0900] "GET /admin/img/insert.png HTTP/1.1" 200 11828
0:0:0:0:0:0:0:1 - - [08/Feb/2024:07:29:17 +0900] "GET /admin/img/backup.png HTTP/1.1" 200 9597
0:0:0:0:0:0:0:1 - - [08/Feb/2024:07:29:17 +0900] "GET /admin/img/setting.png HTTP/1.1" 200 10685
0:0:0:0:0:0:0:1 - - [08/Feb/2024:07:29:17 +0900] "GET /admin/img/inquiry.png HTTP/1.1" 200 8837
0:0:0:0:0:0:0:1 - - [08/Feb/2024:07:29:17 +0900] "GET /admin/img/menu.png HTTP/1.1" 200 5681
