127.0.0.1 - - [17/Mar/2024:20:55:37 +0900] "GET / HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:55:53 +0900] "GET /admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:55:53 +0900] "GET /admin/ HTTP/1.1" 500 2135
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:55:53 +0900] "GET /admin/css/bootstrap.min.css HTTP/1.1" 200 232914
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:55:56 +0900] "GET /admin/js/bootstrap.min.js HTTP/1.1" 200 60348
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:55:56 +0900] "GET /admin/css/sticky-footer.css HTTP/1.1" 200 598
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:55:56 +0900] "GET /favicon.ico HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:56:02 +0900] "POST /admin/MainController HTTP/1.1" 200 11928
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:56:02 +0900] "GET /admin/css/pricing.css HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:56:02 +0900] "GET /admin/img/menu.png HTTP/1.1" 200 5681
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:56:02 +0900] "GET /admin/img/meet.png HTTP/1.1" 200 5550
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:56:02 +0900] "GET /admin/img/backup.png HTTP/1.1" 200 9597
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:56:02 +0900] "GET /admin/img/setting.png HTTP/1.1" 200 10685
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:56:02 +0900] "GET /admin/img/inquiry.png HTTP/1.1" 200 8837
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:56:02 +0900] "GET /admin/img/insert.png HTTP/1.1" 200 11828
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:56:06 +0900] "POST /admin/MenuController HTTP/1.1" 200 8984
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:56:09 +0900] "POST /admin/MeetMenuController HTTP/1.1" 200 5519
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:56:12 +0900] "POST /admin/MeetConnectionController HTTP/1.1" 200 38179
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:56:12 +0900] "GET /admin/js/package/dist/chart.js HTTP/1.1" 200 401219
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:56:12 +0900] "GET /admin/js/radarChart.js HTTP/1.1" 200 3429
0:0:0:0:0:0:0:1 - - [17/Mar/2024:20:57:34 +0900] "POST /admin/MeetController HTTP/1.1" 200 -
